action_space,seed,timesteps,regime,episode_s,eval_episodes,mean_wait_s,per_episode_waits,seconds
phase_duration,1,50000,saturated,900,3,32.547,31.271;32.231;34.137,1959.3
phase_duration,2,50000,saturated,900,3,14.927,15.801;14.081;14.901,2062.7
phase_duration,3,50000,saturated,900,3,17.325,15.846;18.312;17.818,3168.9
phase_duration,4,50000,saturated,900,3,36.617,36.816;36.362;36.675,2209.2
phase_duration,5,50000,saturated,900,3,28.345,30.756;29.187;25.093,2168.4
keep_or_switch,1,50000,saturated,900,3,11.065,10.013;9.523;13.660,691.1
keep_or_switch,2,50000,saturated,900,3,14.499,14.295;17.810;11.390,805.2
keep_or_switch,3,50000,saturated,900,3,12.552,13.441;12.792;11.424,787.5
keep_or_switch,4,50000,saturated,900,3,10.596,9.310;12.174;10.303,741.8
keep_or_switch,5,50000,saturated,900,3,15.168,18.265;10.636;16.603,785.9
