image,true_count,predicted_count,error
102428,33,18,-15
110148,1,0,-1
1156,15,4,-11
119533,3,0,-3
121263,5,7,2
121438,10,0,-10
123465,10,8,-2
123788,31,15,-16
126336,8,5,-3
12643,11,5,-6
126509,1,1,0
126553,9,8,-1
128984,3,1,-2
131938,11,1,-10
132455,7,2,-5
134105,7,6,-1
134244,3,2,-1
135287,9,3,-6
136548,19,5,-14
137747,16,3,-13
138104,10,8,-2
142599,6,3,-3
146705,5,2,-3
147307,15,5,-10
148588,4,1,-3
149086,17,10,-7
15219,4,1,-3
154443,6,2,-4
155485,10,2,-8
155645,6,5,-1
156454,14,5,-9
158483,3,1,-2
16050,6,0,-6
160675,10,2,-8
164003,2,0,-2
16447,8,3,-5
166585,11,0,-11
16810,9,3,-6
170599,2,0,-2
172309,24,5,-19
172425,5,2,-3
173268,12,8,-4
176691,1,2,1
177543,6,4,-2
179677,11,1,-10
180313,21,4,-17
180832,6,3,-3
180843,4,2,-2
182461,7,6,-1
182905,4,1,-3
183923,15,7,-8
184248,9,10,1
188340,6,0,-6
193744,7,3,-4
196914,24,5,-19
200736,8,5,-3
20139,4,4,0
201962,2,1,-1
20393,3,2,-1
203980,6,1,-5
204415,9,0,-9
205944,6,7,1
20635,20,4,-16
206443,12,4,-8
206661,7,0,-7
206835,3,1,-2
208069,12,2,-10
209328,13,2,-11
210060,2,1,-1
210172,6,3,-3
210953,28,13,-15
214539,16,7,-9
217351,10,2,-8
219221,11,0,-11
220690,9,7,-2
221815,6,2,-4
223681,3,0,-3
224424,29,19,-10
227716,4,4,0
234131,12,2,-10
234386,11,9,-2
235173,1,1,0
235371,10,6,-4
236522,19,3,-16
242235,2,1,-1
24444,5,1,-4
244750,16,6,-10
245451,10,0,-10
247588,6,2,-4
248402,7,2,-5
249746,15,7,-8
253425,35,13,-22
254951,31,6,-25
255717,10,6,-4
256145,10,1,-9
256166,13,9,-4
256237,4,0,-4
257127,15,13,-2
258927,6,4,-2
259044,11,4,-7
259760,5,3,-2
260532,15,5,-10
262443,18,1,-17
266759,5,2,-3
270615,24,8,-16
273802,16,1,-15
274870,15,1,-14
279236,20,18,-2
27946,3,1,-2
279853,7,0,-7
280115,13,4,-9
28096,7,2,-5
284569,10,7,-3
284987,3,2,-1
286352,14,10,-4
287146,3,0,-3
287420,16,3,-13
288462,7,0,-7
290756,9,9,0
295013,5,2,-3
301585,1,0,-1
307038,18,2,-16
308425,3,1,-2
309541,1,0,-1
309563,13,10,-3
3144,13,3,-10
31478,10,0,-10
315138,15,26,11
317645,6,0,-6
318897,14,2,-12
324584,8,5,-3
324854,6,1,-5
325032,2,1,-1
326864,4,5,1
327028,12,1,-11
330680,11,2,-9
331306,5,3,-2
332065,12,3,-9
3365,3,2,-1
338592,10,5,-5
340561,24,12,-12
341793,2,0,-2
345241,4,1,-3
345322,19,6,-13
347484,8,7,-1
347912,11,4,-7
350629,12,9,-3
35187,18,3,-15
354726,8,7,-1
35732,12,11,-1
35892,13,13,0
363158,18,4,-14
364529,2,1,-1
366672,5,2,-3
368333,9,6,-3
368868,28,3,-25
369577,12,4,-8
369979,8,4,-4
370717,4,2,-2
371190,7,3,-4
377687,24,6,-18
380525,4,3,-1
384178,4,1,-3
38722,3,1,-2
389590,24,1,-23
390722,8,3,-5
39114,4,2,-2
392541,18,5,-13
393183,14,1,-13
39339,24,9,-15
393586,11,2,-9
394027,24,10,-14
396929,3,1,-2
400600,7,6,-1
401423,8,4,-4
404283,8,1,-7
40430,9,1,-8
407193,3,3,0
40934,8,1,-7
409346,13,6,-7
41471,4,6,2
414894,9,4,-5
416853,11,2,-9
416971,8,2,-6
419282,13,7,-6
419750,10,0,-10
42309,10,0,-10
424622,12,1,-11
426851,13,4,-9
426881,4,0,-4
429162,8,5,-3
42927,12,9,-3
430205,4,1,-3
433331,1,0,-1
435151,7,1,-6
436101,2,1,-1
436374,5,0,-5
437226,14,2,-12
438829,1,1,0
439057,12,1,-11
441034,21,10,-11
441447,4,1,-3
444758,23,5,-18
448662,4,3,-1
449203,13,3,-10
44980,7,3,-4
454073,6,4,-2
454739,9,1,-8
457203,15,5,-10
459298,5,2,-3
461339,12,5,-7
463075,4,4,0
463166,20,22,2
464549,11,8,-3
467578,21,1,-20
467680,12,3,-9
468828,3,3,0
469415,21,2,-19
471004,3,2,-1
474074,6,7,1
4746,10,4,-6
475149,3,0,-3
476998,10,4,-6
479335,6,0,-6
479494,7,2,-5
481953,20,1,-19
484041,3,3,0
484816,16,3,-13
488398,7,1,-6
493366,14,6,-8
500516,16,14,-2
505595,3,0,-3
507197,5,2,-3
508756,6,3,-3
518475,2,1,-1
518507,7,1,-6
519833,27,9,-18
521843,7,3,-4
52224,4,3,-1
522640,11,0,-11
525444,10,4,-6
527275,4,1,-3
530908,10,3,-7
532730,5,2,-3
534150,25,5,-20
534458,18,4,-14
535345,7,2,-5
537251,12,1,-11
538717,3,0,-3
540257,10,1,-9
541394,11,1,-10
546638,13,9,-4
546992,24,2,-22
547169,6,0,-6
547513,5,1,-4
550864,3,1,-2
551894,15,1,-14
552335,11,2,-9
55597,17,16,-1
558998,18,2,-16
559725,22,5,-17
560628,10,3,-7
56083,5,1,-4
561085,9,3,-6
561228,15,9,-6
56244,12,6,-6
562838,12,8,-4
566084,6,1,-5
5663,3,0,-3
568124,6,0,-6
568654,14,13,-1
568867,28,6,-22
57189,5,4,-1
572959,9,2,-7
573104,1,0,-1
57541,12,3,-9
575800,5,4,-1
578312,17,6,-11
578344,5,3,-2
578445,5,4,-1
580088,10,6,-4
580586,14,2,-12
582627,21,0,-21
584906,43,17,-26
589058,19,5,-14
589826,10,9,-1
590197,8,1,-7
593595,20,10,-10
594142,7,8,1
598713,6,7,1
600855,3,2,-1
603187,3,1,-2
604529,19,16,-3
60552,3,2,-1
606675,4,1,-3
613771,13,3,-10
61379,18,1,-17
617743,3,4,1
620596,9,5,-4
621869,14,8,-6
627436,3,2,-1
630200,7,1,-6
632942,14,6,-8
633353,13,3,-10
636210,22,12,-10
63646,20,11,-9
637574,11,4,-7
64249,11,6,-5
643166,13,10,-3
644473,19,8,-11
644504,14,13,-1
648233,15,3,-12
651340,10,2,-8
651970,10,0,-10
652345,3,2,-1
653649,6,2,-4
654517,26,6,-20
655358,5,6,1
656152,14,11,-3
657309,9,4,-5
657589,2,0,-2
66073,3,2,-1
661827,9,6,-3
66226,5,0,-5
664506,9,18,9
666303,6,3,-3
666891,17,9,-8
671036,3,0,-3
67863,15,9,-6
680649,10,6,-4
680914,2,1,-1
685254,15,6,-9
686396,12,7,-5
686865,9,2,-7
687356,14,1,-13
687365,9,1,-8
688740,5,0,-5
690438,12,2,-10
696746,6,6,0
697378,20,4,-16
701206,13,1,-12
701814,11,3,-8
703334,9,1,-8
704016,9,6,-3
706703,24,6,-18
708256,4,2,-2
711515,4,4,0
717004,16,10,-6
722620,24,17,-7
724378,8,3,-5
724441,15,3,-12
725303,15,5,-10
726088,7,1,-6
728701,18,7,-11
728911,17,6,-11
732843,9,7,-2
736066,9,5,-4
738190,3,1,-2
739802,11,9,-2
742109,13,1,-12
742326,12,9,-3
74291,12,4,-8
743265,18,14,-4
743514,2,1,-1
748263,3,1,-2
751662,16,6,-10
757952,14,16,2
761753,20,9,-11
762660,18,2,-16
764237,7,3,-4
765665,22,7,-15
767502,33,25,-8
768668,7,1,-6
769109,15,1,-14
771964,5,5,0
772640,2,0,-2
773693,3,1,-2
776168,2,0,-2
77649,7,3,-4
777990,16,0,-16
778084,12,5,-7
780808,3,0,-3
781689,23,9,-14
782158,10,1,-9
78318,20,15,-5
783759,6,0,-6
784252,9,8,-1
785689,7,0,-7
788478,11,3,-8
789305,6,3,-3
793492,13,9,-4
795040,18,7,-11
79701,7,0,-7
797048,9,7,-2
801525,6,3,-3
803623,6,0,-6
805527,4,1,-3
806061,14,3,-11
806716,16,5,-11
807511,8,1,-7
807579,4,1,-3
808122,12,5,-7
808434,2,1,-1
809178,7,4,-3
810625,30,5,-25
815802,3,1,-2
818981,14,1,-13
821283,1,2,1
821329,6,6,0
822467,15,1,-14
823100,15,0,-15
824798,12,10,-2
825348,16,4,-12
827168,13,3,-10
827880,5,3,-2
830944,17,4,-13
832043,9,1,-8
834076,9,6,-3
835408,4,3,-1
83628,16,0,-16
839487,5,3,-2
840965,4,0,-4
846117,5,0,-5
846730,18,6,-12
847682,16,7,-9
84800,11,4,-7
851872,6,0,-6
852501,11,2,-9
853179,30,18,-12
854093,3,3,0
855999,14,9,-5
860703,18,8,-10
861485,8,5,-3
862881,8,4,-4
865556,49,6,-43
872934,22,4,-18
880013,2,0,-2
880128,3,0,-3
880259,37,10,-27
881580,6,0,-6
883913,15,7,-8
892858,16,5,-11
895016,8,4,-4
898237,11,4,-7
898611,7,6,-1
901115,13,3,-10
90226,11,6,-5
90247,12,5,-7
909630,5,6,1
910342,15,4,-11
910798,25,13,-12
913748,1,1,0
914906,6,5,-1
91926,7,3,-4
920859,20,4,-16
920902,14,4,-10
922223,4,1,-3
922800,4,2,-2
926294,12,16,4
928476,4,5,1
928619,3,1,-2
931639,15,2,-13
933425,2,2,0
93672,4,3,-1
937641,12,3,-9
937713,11,12,1
938433,43,10,-33
940712,4,7,3
940790,5,1,-4
943564,8,8,0
946315,4,1,-3
949818,6,2,-4
950086,9,5,-4
950494,6,1,-5
95127,14,3,-11
951743,6,2,-4
952450,5,3,-2
952703,27,21,-6
957852,6,2,-4
958597,27,1,-26
959786,6,4,-2
961091,8,5,-3
961687,1,1,0
962639,7,4,-3
964573,13,9,-4
968600,17,5,-12
970947,6,0,-6
971050,24,4,-20
975819,14,10,-4
976546,9,0,-9
979817,18,6,-12
981239,11,5,-6
987036,8,1,-7
988192,19,14,-5
990883,4,2,-2
991696,1,0,-1
992820,1,0,-1
998960,18,1,-17
