frame,time_s,teacher_boxes,student_boxes,count_gap,disagreement
Incredible_traffic_Sound_in__0004726,157.7,12,3,9,0.75
Incredible_traffic_Sound_in__0004546,151.7,12,4,8,0.6667
Incredible_traffic_Sound_in__0010141,338.4,18,6,12,0.6667
Incredible_traffic_Sound_in__0024391,813.8,16,6,10,0.625
Incredible_traffic_Sound_in__0009706,323.9,21,8,13,0.619
Incredible_traffic_Sound_in__0035851,1196.2,21,8,13,0.619
Incredible_traffic_Sound_in__0004516,150.7,13,5,8,0.6154
Incredible_traffic_Sound_in__0031246,1042.6,10,4,6,0.6
Incredible_traffic_Sound_in__0035686,1190.7,20,8,12,0.6
Incredible_traffic_Sound_in__0024406,814.3,17,7,10,0.5882
Incredible_traffic_Sound_in__0015286,510.0,24,10,14,0.5833
Incredible_traffic_Sound_in__0017056,569.1,12,5,7,0.5833
Incredible_traffic_Sound_in__0029626,988.5,12,5,7,0.5833
Incredible_traffic_Sound_in__0015256,509.0,19,8,11,0.5789
Incredible_traffic_Sound_in__0018076,603.1,19,8,11,0.5789
Incredible_traffic_Sound_in__0035671,1190.2,19,8,11,0.5789
Incredible_traffic_Sound_in__0022786,760.3,26,11,15,0.5769
Incredible_traffic_Sound_in__0030376,1013.5,21,9,12,0.5714
Incredible_traffic_Sound_in__0033841,1129.2,14,6,8,0.5714
Incredible_traffic_Sound_in__0004741,158.2,16,7,9,0.5625
Incredible_traffic_Sound_in__0027136,905.4,16,7,9,0.5625
Incredible_traffic_Sound_in__0021061,702.7,18,8,10,0.5556
Incredible_traffic_Sound_in__0029641,989.0,9,4,5,0.5556
Incredible_traffic_Sound_in__0016606,554.1,5,11,6,0.5455
Incredible_traffic_Sound_in__0029761,993.0,11,5,6,0.5455
Incredible_traffic_Sound_in__0033151,1106.1,11,5,6,0.5455
Incredible_traffic_Sound_in__0035386,1180.7,5,11,6,0.5455
Incredible_traffic_Sound_in__0004531,151.2,13,6,7,0.5385
Incredible_traffic_Sound_in__0027151,905.9,13,6,7,0.5385
Incredible_traffic_Sound_in__0034906,1164.7,13,6,7,0.5385
Incredible_traffic_Sound_in__0010096,336.9,15,7,8,0.5333
Incredible_traffic_Sound_in__0030406,1014.5,15,7,8,0.5333
Incredible_traffic_Sound_in__0034771,1160.2,15,7,8,0.5333
Incredible_traffic_Sound_in__0032041,1069.1,17,8,9,0.5294
Incredible_traffic_Sound_in__0035551,1186.2,17,8,9,0.5294
Incredible_traffic_Sound_in__0009796,326.9,19,9,10,0.5263
Incredible_traffic_Sound_in__0020881,696.7,19,9,10,0.5263
Incredible_traffic_Sound_in__0024436,815.3,19,9,10,0.5263
Incredible_traffic_Sound_in__0029116,971.5,19,9,10,0.5263
Incredible_traffic_Sound_in__0010306,343.9,21,10,11,0.5238
Incredible_traffic_Sound_in__0030421,1015.0,21,10,11,0.5238
Incredible_traffic_Sound_in__0015481,516.5,23,11,12,0.5217
Incredible_traffic_Sound_in__0003541,118.2,12,6,6,0.5
Incredible_traffic_Sound_in__0009031,301.3,14,7,7,0.5
Incredible_traffic_Sound_in__0009196,306.8,20,10,10,0.5
Incredible_traffic_Sound_in__0009601,320.4,10,5,5,0.5
Incredible_traffic_Sound_in__0013396,447.0,20,10,10,0.5
Incredible_traffic_Sound_in__0015451,515.5,22,11,11,0.5
Incredible_traffic_Sound_in__0018061,602.6,16,8,8,0.5
Incredible_traffic_Sound_in__0024331,811.8,16,8,8,0.5
Incredible_traffic_Sound_in__0024376,813.3,16,8,8,0.5
Incredible_traffic_Sound_in__0024511,817.9,18,9,9,0.5
Incredible_traffic_Sound_in__0029041,969.0,24,12,12,0.5
Incredible_traffic_Sound_in__0029581,987.0,14,7,7,0.5
Incredible_traffic_Sound_in__0029611,988.0,12,6,6,0.5
Incredible_traffic_Sound_in__0029716,991.5,12,6,6,0.5
Incredible_traffic_Sound_in__0030841,1029.1,12,6,6,0.5
Incredible_traffic_Sound_in__0033166,1106.6,12,6,6,0.5
Incredible_traffic_Sound_in__0034096,1137.7,12,6,6,0.5
Incredible_traffic_Sound_in__0035911,1198.2,22,11,11,0.5
Incredible_traffic_Sound_in__0029026,968.5,25,13,12,0.48
Incredible_traffic_Sound_in__0012301,410.4,23,12,11,0.4783
Incredible_traffic_Sound_in__0021511,717.8,21,11,10,0.4762
Incredible_traffic_Sound_in__0026896,897.4,21,11,10,0.4762
Incredible_traffic_Sound_in__0028876,963.5,21,11,10,0.4762
Incredible_traffic_Sound_in__0006811,227.3,19,10,9,0.4737
Incredible_traffic_Sound_in__0008671,289.3,19,10,9,0.4737
Incredible_traffic_Sound_in__0008731,291.3,19,10,9,0.4737
Incredible_traffic_Sound_in__0011071,369.4,19,10,9,0.4737
Incredible_traffic_Sound_in__0013411,447.5,19,10,9,0.4737
Incredible_traffic_Sound_in__0014491,483.5,19,10,9,0.4737
Incredible_traffic_Sound_in__0015541,518.6,19,10,9,0.4737
Incredible_traffic_Sound_in__0020521,684.7,19,10,9,0.4737
Incredible_traffic_Sound_in__0030436,1015.5,19,10,9,0.4737
Incredible_traffic_Sound_in__0014701,490.5,17,9,8,0.4706
Incredible_traffic_Sound_in__0014941,498.5,17,9,8,0.4706
Incredible_traffic_Sound_in__0028846,962.5,17,9,8,0.4706
Incredible_traffic_Sound_in__0028906,964.5,17,9,8,0.4706
Incredible_traffic_Sound_in__0029566,986.5,17,9,8,0.4706
Incredible_traffic_Sound_in__0030016,1001.5,17,9,8,0.4706
Incredible_traffic_Sound_in__0031081,1037.1,17,9,8,0.4706
Incredible_traffic_Sound_in__0032026,1068.6,17,9,8,0.4706
Incredible_traffic_Sound_in__0000481,16.0,13,7,6,0.4615
Incredible_traffic_Sound_in__0003586,119.7,13,7,6,0.4615
Incredible_traffic_Sound_in__0004501,150.2,13,7,6,0.4615
Incredible_traffic_Sound_in__0008956,298.8,26,14,12,0.4615
Incredible_traffic_Sound_in__0016981,566.6,13,7,6,0.4615
