image,true_count,predicted_count,error
100093,9,9,0
100331,13,13,0
100715,8,8,0
100794,34,41,7
100974,3,4,1
101097,8,8,0
101941,5,6,1
102293,9,9,0
103123,3,3,0
103438,29,38,9
103668,7,6,-1
103954,4,5,1
104151,3,5,2
105055,25,27,2
106009,2,2,0
106504,4,4,0
107286,18,20,2
107432,14,17,3
107691,4,5,1
108741,7,7,0
110233,10,16,6
111024,9,11,2
111396,4,5,1
111673,10,11,1
112034,13,13,0
112160,26,34,8
112837,8,9,1
113005,14,14,0
113186,3,3,0
113954,11,9,-2
117244,6,6,0
118895,4,5,1
118946,14,14,0
120400,17,19,2
120837,4,3,-1
120972,14,12,-2
121528,2,1,-1
122014,25,31,6
122371,9,3,-6
123660,4,5,1
124751,22,24,2
124763,10,14,4
125204,13,17,4
125698,2,2,0
125804,7,7,0
127594,11,12,1
127599,5,6,1
128529,11,16,5
129571,11,9,-2
12979,10,10,0
130792,18,19,1
131351,33,34,1
132547,9,13,4
13403,5,5,0
134046,19,18,-1
134666,10,10,0
135250,1,2,1
135648,11,12,1
136079,27,28,1
137026,3,5,2
137246,7,7,0
13727,16,16,0
137308,4,5,1
139197,27,33,6
140754,4,6,2
142846,4,5,1
143947,4,5,1
1457,11,13,2
146730,7,9,2
147913,20,25,5
148306,3,3,0
149524,5,4,-1
15068,12,17,5
151656,6,7,1
154434,4,6,2
155210,26,34,8
157156,7,7,0
157962,23,27,4
1596,9,14,5
160317,15,19,4
162654,5,5,0
163139,14,22,8
164637,8,10,2
164898,5,4,-1
165539,12,15,3
167173,9,8,-1
167497,10,10,0
167561,10,13,3
168387,12,22,10
169227,2,3,1
169867,8,7,-1
170,10,9,-1
170862,18,20,2
173608,4,5,1
176181,5,6,1
176383,23,32,9
176857,5,5,0
17758,2,2,0
178745,21,20,-1
179891,11,13,2
18002,3,5,2
182054,17,23,6
182995,15,16,1
184513,6,6,0
184584,17,17,0
186298,9,11,2
188718,22,24,2
188747,19,20,1
189032,7,6,-1
190296,8,10,2
190780,6,7,1
191103,9,11,2
193139,4,4,0
193928,16,25,9
193972,14,23,9
194161,10,10,0
194581,15,16,1
196164,4,5,1
196390,8,10,2
197491,12,13,1
198106,4,6,2
198739,12,14,2
199066,21,22,1
199951,20,20,0
200028,3,6,3
200034,18,22,4
20084,13,13,0
201432,3,3,0
203135,5,10,5
204378,3,3,0
20851,5,6,1
208623,15,20,5
209265,5,5,0
210212,9,14,5
210511,3,4,1
211500,12,18,6
211966,15,16,1
212481,23,25,2
21306,17,18,1
213095,19,24,5
21325,5,6,1
213856,8,8,0
214595,12,17,5
214664,15,16,1
215905,18,19,1
216207,9,14,5
217745,6,8,2
218600,12,11,-1
218651,5,5,0
219590,34,35,1
220566,38,41,3
2222,6,8,2
222219,12,9,-3
222750,4,6,2
222789,8,11,3
223335,12,14,2
224576,26,34,8
224583,1,2,1
22553,5,6,1
225548,7,7,0
225878,15,16,1
227164,2,2,0
227678,17,24,7
227915,3,20,17
228492,2,2,0
228690,16,20,4
229227,6,7,1
230108,23,26,3
23035,11,18,7
230541,8,12,4
231208,2,4,2
232270,11,15,4
232545,12,13,1
232690,3,4,1
235326,7,9,2
236171,4,5,1
23636,5,7,2
23709,13,19,6
23758,16,21,5
23809,16,15,-1
238555,5,5,0
239145,28,33,5
239478,12,16,4
240589,9,7,-2
241006,3,2,-1
2421,12,15,3
243443,9,11,2
24521,6,7,1
245321,7,7,0
245566,16,22,6
246543,14,19,5
246863,15,14,-1
248588,16,19,3
250302,4,4,0
25127,5,5,0
251280,10,9,-1
251779,3,3,0
253385,14,17,3
253801,4,5,1
253930,5,4,-1
256672,4,4,0
258387,2,3,1
259953,6,4,-2
260820,20,18,-2
261840,10,10,0
2620,5,5,0
263490,5,9,4
263623,9,9,0
263885,5,4,-1
264801,19,20,1
265199,14,20,6
265447,4,4,0
265493,8,11,3
266426,15,17,2
266871,3,5,2
267242,1,1,0
267669,18,21,3
267706,7,13,6
267942,15,18,3
269425,4,24,20
270083,22,28,6
271244,11,12,1
272805,3,5,2
275573,1,1,0
278529,5,7,2
278838,28,29,1
279996,21,24,3
280074,16,23,7
281279,5,5,0
