image,true_count,predicted_count,error
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__000240_r,3,1,-2
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__0004380,2,2,0
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__0005760,3,2,-1
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__0006120,4,4,0
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__000630_r,5,5,0
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__000720_r,7,5,-2
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__000756_r,5,6,1
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__0014160,2,2,0
frontFar__BLR-2018-03-22_17-39-26_2_frontFar__0017280,8,10,2
frontFar__BLR-2018-03-22_17-39-26_3_frontFar__0008340,2,2,0
frontFar__BLR-2018-03-22_17-39-26_3_frontFar__000876_r,2,3,1
frontFar__BLR-2018-03-22_17-39-26_3_frontFar__0008820,1,1,0
frontFar__BLR-2018-03-22_17-39-26_3_frontFar__0009900,2,2,0
frontFar__BLR-2018-03-22_17-39-26_3_frontFar__0010680,2,2,0
frontFar__BLR-2018-03-22_17-39-26_3_frontFar__0010800,1,1,0
frontFar__BLR-2018-03-22_17-39-26_3_frontFar__0010920,1,1,0
frontFar__BLR-2018-04-16_15-24-27_frontFar__0000960,0,0,0
frontFar__BLR-2018-04-16_15-24-27_frontFar__0009480,7,13,6
frontFar__BLR-2018-04-16_15-24-27_frontFar__0014040,3,3,0
frontFar__BLR-2018-04-16_15-44-27_frontFar__000192_r,0,0,0
frontFar__BLR-2018-04-16_15-44-27_frontFar__000720_r,0,0,0
frontFar__BLR-2018-04-16_15-44-27_frontFar__0007560,0,0,0
frontFar__BLR-2018-04-16_15-44-27_frontFar__001254_r,1,1,0
frontFar__BLR-2018-04-16_15-44-27_frontFar__0013560,1,1,0
frontFar__BLR-2018-04-16_15-54-27_frontFar__0001140,3,1,-2
frontFar__BLR-2018-04-16_15-54-27_frontFar__000126_r,4,5,1
frontFar__BLR-2018-04-16_15-54-27_frontFar__000732_r,1,1,0
frontFar__BLR-2018-04-16_16-04-27_frontFar__0016800,4,3,-1
frontFar__BLR-2018-04-16_16-04-27_frontFar__0017040,2,2,0
frontFar__BLR-2018-04-19_17-26-55_frontFar__0003960,1,1,0
