saturation_flow_per_metre,seeds,regime,mean_wait_s,clamp_rate,arrived_fraction,mean_queue
525,5,saturated,20.603,0.0349,0.939,14.626
660,5,saturated,16.113,0.1226,0.9447,10.704
750,5,saturated,14.223,0.3778,0.9479,9.242
900,5,saturated,14.411,0.8053,0.9497,9.437
1050,5,saturated,14.025,0.9918,0.9486,9.135
1283,5,saturated,14.025,1.0,0.9486,9.135
525,5,light,6.554,1.0,0.9598,1.992
660,5,light,6.554,1.0,0.9598,1.992
750,5,light,6.554,1.0,0.9598,1.992
900,5,light,6.554,1.0,0.9598,1.992
1050,5,light,6.554,1.0,0.9598,1.992
1283,5,light,6.502,1.0,0.9574,1.953
525,5,oversaturated,68.898,0.4346,0.8327,82.534
660,5,oversaturated,67.708,0.3558,0.8195,84.311
750,5,oversaturated,63.624,0.2795,0.8307,85.451
900,5,oversaturated,62.593,0.24,0.7784,104.331
1050,5,oversaturated,64.127,0.2265,0.78,102.853
1283,5,oversaturated,68.775,0.1667,0.8105,83.507
